Borough,Noms du reseau,Nom du lieu culturel municipal,Adresse,Code postal,Ville,Province,ACC_autodoor,ACC_entranceramp,ACC_streetlevel,ACC_stairs,ACC_elevator,WR_streetlvl,WR_rails,WR_gender_neutral,WR_size,WR_change_table,WR_family,INC_bilingual/en/fr,INC_helpfulstaff,INC_braille,INC_family_friendly,OVER_ccessible,OVER_comments,Telephone general,Site Internet,Latitude,Longitude,Description
Ville-Marie,Bibliotheque,Bibliotheque Pere-Ambroise,"2093, rue de la Visitation",H2L 3C9,Montreal,QC,1,1,1,0,1,1,1,0,s,1,1,b,1,0,1,y,very well designed for strollers but lack of clear signage,514 872-1633,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=11",-73.5627,45.52279,"La nouvelle bibliotheque familiale Pere-Ambroise a ouvert ses portes le 5 janvier 2009 et elle est situee dans l'edifice de l'Association sportive et communautaire du Centre-Sud.¶ Les collections adultes et jeunes sont presentees de maniere innovatrice, c'est la couleur du rayonnage qui oriente les clienteles vers les collections qui leur sont destinees. Elles sont reparties de faaõon a ce que les adultes et les jeunes partagent le meme espace de lecture.L'amenagement est fonctionnel, ludique et contemporain, avec un espace accru pour les personnes handicapees. Des panneaux de verre colore et un plafond central vert vibrant donnent le ton et dynamisent l'espace.¶ Les aires de lecture sont majoritairement situees pres des fenetres, avec vue sur le parc et la toiture vegetale adjacente qui recouvre la piscine et la pataugeoire."
Pierrefonds-Roxboro,Bibliotheque,Bibliotheque de Pierrefonds,"13555, boulevard Pierrefonds",H9A 1A6,Montreal,QC,1,1,1,0,1,1,1,0,s,1,1,b,1,0,1,y,excellent for families and seniors. clean facilities,514 620-4181,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=37",-73.8472,45.49519,"Courbes et vent', une oeuvre de Joa®lle Morosoli, occupe une grande surface exterieure de la bibliotheque de Pierrefonds. Cette murale est en mouvement aux heures d'ouverture de la bibliotheque : des bandes de metal peintes de couleur blanche se transforment en feuilles et semblent se courber sous l'action du vent.¶ L'artiste explique que ¶® cette murale se veut le miroir d'un arbre japonais qui lui fait face ¶¯. Elle souligne aussi l'importance du mouvement que prend la murale : ¶® Au debut du mouvement, les branches blanches se courbent harmonieusement, puis a l'extremite gauche, une branche se deplace plus rapidement pour creer a la fin du mouvement un enchevetrement complexe de feuilles. Cet arbre stylise reflete l'art oriental au travers de son apparente fragilite et de son rythme harmonieux."
Le Plateau-Mont-Royal,Bibliotheque,Bibliotheque du Plateau-Mont-Royal,"465, avenue du Mont-Royal Est",H2J 1W3,Montreal,QC,1,1,1,1,0,1,1,0,l,1,1,f,1,0,1,y,very good quality and excellent facilities.,514 872-2271,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=38",-73.5824,45.52482,"L'edifice dans lequel logent la bibliotheque et la maison de la culture du Plateau-Mont-Royal a ete construit en 1896 par les architectes Resther, pere et fils. a l'epoque, le ba½timent appartenait aux soeurs enseignantes de Sainte-Croix et logeait le pensionnat Saint-Basile pour jeunes filles. En 1984, la bibliotheque et la maison de la culture ouvrent leurs portes. Aujourd'hui, le ba½timent abrite egalement des logements pour les personnes a½gees.¶ Plusieurs oeuvres d'art sont exposees dans la bibliotheque, parmi lesquelles 'Courtepointes de chat' des artistes Marie Decary et Lise Nantel, dans la section des enfants. Le comptoir de pret de meme que la salle de travail ont ete realises par la sculpteure Lisette Lemieux; ils consistent en un ensemble de cloisons-paravents ajourees en bois d'erable."
Riviere-des-Prairies-Pointe-aux-Trembles,Bibliotheque,Bibliotheque de Pointe-aux-Trembles,"14001, rue Notre-Dame Est",H1A 1T9,Montreal,QC,1,1,1,5,0,1,1,0,m,1,1,f,1,0,1,y,very well designed for strollers but lack of clear signage,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=39",-73.4944,45.66772,"Implantee dans le quartier Pointe-aux-Trembles, la bibliotheque fait partie d'un complexe qui regroupe la maison de la culture et le Centre multimedia de l'est de Montreal. Le Centre multimedia est une entreprise en economie sociale qui a pour mission de democratiser l'acces aux nouvelles technologies, soutenir la creativite et elargir les possibilites de production et de diffusion culturelles des organismes du milieu et des artistes montrealais en emergence. Les nouvelles technologies sont d'ailleurs au coeur du service offert par la bibliotheque Pointe-aux-Trembles. Seize postes multimedias sont mis gratuitement a la disposition de la clientele dont quatre sont dedies a la bureautique."
Riviere-des-Prairies-Pointe-aux-Trembles,Bibliotheque,Bibliotheque de Riviere-des-Prairies,"9001, boulevard Perras",H1E 3J7,Montreal,QC,1,1,1,4,1,0,1,0,l,1,1,f,1,1,1,y,very well designed for strollers but lack of clear signage,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=43",-73.5788,45.64964,"La bibliotheque de Riviere-des-Prairies est situee au coeur du quartier. Tout autour se trouvent un centre communautaire oaû des organismes du quartier, dont une joujoutheque, ont leurs locaux, un arena, un centre aquatique. La bibliotheque accueille une forte clientele adolescente en raison de sa proximite avec l'ecole secondaire Jean-Grou qui est situee tout a cote. La bibliotheque possede une salle d'exposition mise a la disposition de la maison de la culture Riviere-des-Prairies."
Outremont,Bibliotheque,Bibliotheque Robert-Bourassa,"41, avenue Saint-Just",H2V 4T7,Montreal,QC,1,1,1,6,1,0,1,0,m,1,1,f,1,1,1,y,"overall very inclusive and accommodating, future improvements planned",514 495-6208,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=44",-73.6085,45.51775,"La bibliotheque Robert-Bourassa, situee au 41 avenue Saint-Just, ouvre ses portes le 1er avril 1998. Le nouveau ba½timent, dont la superficie a ete multipliee par sept comparativement a l'ancienne bibliotheque, offre des aires communicantes. Cette approche architecturale, qui fait grandement appel a la lumiere naturelle, a l'innovation et a l'ouverture, permet le developpement d'une synergie entre les differentes fonctions de la bibliotheque et les usagers. Sur les murs de la bibliotheque sont exposees des oeuvres d'art pretees par la galerie d'art d'Outremont, adjacente, et qui completent l'harmonie d'ensemble du ba½timent."
Rosemont-La Petite-Patrie,Bibliotheque,Bibliotheque de Rosemont,"3131, boulevard Rosemont",H1Y 1M4,Montreal,QC,1,1,1,2,0,1,1,0,m,1,1,f,1,0,1,y,"overall very inclusive and accommodating, future improvements planned",n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=45",-73.582,45.55152,"La construction de cet edifice de style art deco a ete terminee en 1949. Lors des renovations de 2003, une attention toute particuliere a ete portee a la conservation des caracteristiques de ce style architectural tout en offrant plus d'espace et de services aux usagers."
Pierrefonds-Roxboro,Bibliotheque,Bibliotheque de Roxboro,"110, rue Cartier",H8Y 1G8,Montreal,QC,1,1,1,8,0,1,1,0,s,1,1,f,1,0,1,y,excellent for families and seniors. clean facilities,514 684-8247,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=46",-73.8133,45.50413,"L'implantation de cette bibliotheque a debute en 1960. Des residants ont alors fait appel a la participation de leurs concitoyens en recueillant des livres et en amassant des fonds, a raison de 1 $ par personne. a cette epoque, on entreposait les livres dans le sous-sol d'une maison. Depuis, la bibliotheque a grandi et l'enthousiasme des citoyens ne s'est jamais dementi."
Le Sud-Ouest,Bibliotheque,Bibliotheque de Saint-Charles,Secteur adultes,H3K 3E3,Montreal,QC,1,1,1,8,1,1,1,0,m,1,1,f,1,1,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,514 872-3092,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=47",-73.5644,45.47884,"Cette bibliotheque occupe elle aussi une ancienne caserne de pompiers, celle-la datant de 1891. En 1973, c'est sous la pression des citoyens que l'edifice est sauve de la demolition et reamenage. Des son ouverture en 1976, la bibliotheque devient un veritable lieu de rencontre pour les residants des environs. Dans ce quartier ouvrier aux multiples problematiques sociales, la bibliotheque devient le coeur vivant d'une participation citoyenne active.On y trouve une oeuvre d'art unique, intitulee 'Monsieur Philippe'. Il s'agit d'une table dessinee par Philippe Beha, un illustrateur montrealais d'origine marocaine au talent aussi intarissable que son imagination. La table a ete realisee par l'architecte Philippe Lupien. C'est sur le plateau de cette table insolite que les enfants viennent tous les jours faire leurs devoirs. Inspirant!"
Le Sud-Ouest,Bibliotheque,Bibliotheque de Saint-Henri,"4707, rue Notre-Dame Ouest",H4C 1S9,Montreal,QC,1,1,1,2,1,1,1,0,s,1,1,f,1,0,1,y,very good quality and excellent facilities.,514 872-2879,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=34",-73.5889,45.47268,"Situee au coeur du quartier Saint-Henri, la bibliotheque Notre-Dame est demenagee en face de ses anciens locaux pour s'installer au rez-de-chaussee d'une ancienne usine de la compagnie Asten Johnson. Cette nouvelle bibliotheque inauguree en 2008 a troque son nom pour Saint-Henri. La bibliotheque Saint-Henri possede un decor ludique et moderne et une atmosphere conviviale qui se prete aux plaisirs de la lecture. Lumineuse, coloree, elle a ete amenagee specialement pour la famille : sieges et postes de travail adaptes, espace ouvert pour l'heure du conte, salles d'animation et salles de travail, coin allaitement, chaises beraõantes, tables a langer, etc."
Saint-Laurent,Bibliotheque,Bibliotheque du Vieux-Saint-Laurent,"1380, rue de l'Eglise",H4L 2H2,Montreal,QC,1,1,1,1,0,1,1,0,l,1,1,f,1,1,1,y,very well designed for strollers but lack of clear signage,514 855-6130,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=48",-73.6766,45.51269,"La bibliotheque actuelle a ete inauguree en 1965. En 1990, un nouvel amenagement paysager fait place a la sculpture 'Cailloudo', du repute Charles Daudelin (1920-2001). 'Cailloudo' est un bronze-fontaine dont la forme ressemble a un oeuf allonge ou un caillou use par le temps. a partir d'un tertre de brique de beton se dessinent sur le sol les cercles que peut faire l'eau quand on y lance un caillou.¶ Au centre de la sculpture jaillissent l'eau et la lumiere. Recipiendaire du prix Paul-Emile-Borduas en 1985 et artiste reconnu comme pionnier quebecois de la sculpture abstraite et de l'art integre a l'architecture, Charles Daudelin est etroitement lie a l'histoire de Saint-Laurent puisque c'est lui qui a realise les decors, les affiches et les costumes des productions des Compagnons de Saint-Laurent (1937-1952), la celebre troupe de thea½tre du pere Emile Legault (1906-1983)."
Saint-Leonard,Bibliotheque,Bibliotheque de Saint-Leonard,"8420, boulevard Lacordaire",H1R 3G5,Montreal,QC,1,1,1,3,0,1,1,0,m,1,1,b,1,1,1,y,pleasant staff but facilities need an upgrade to meet modern UAP standards,514 328-8500 #8592,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=49",-73.5972,45.58665,"La premiere bibliotheque de Saint-Leonard est inauguree en 1966. Elle est alors situee rue Jarry, dans une maison tres modeste. En 1974, le nouvel hotel de ville et la bibliotheque actuelle sont construits cote a cote, boulevard Lacordaire. Agrandie en 1984, la bibliotheque se modernise au fil des annees et abrite la splendide galerie Port-Maurice.'Trait-d'union', une oeuvre de Michel Goulet, est installee place Roger-Nantel, face a la bibliotheque. L'ensemble sculptural est compose de douze colonnes en beton supportant differentes pierres de taille. Des quatre colonnes centrales dominant l'ensemble s'ecoulent des filets d'eau glissant dans un bassin."
Villeray-Saint-Michel-Parc-Extension,Bibliotheque,Bibliotheque de Saint-Michel,"7601, rue Franaõois-Perrault",H2A 3L6,Montreal,QC,1,1,1,4,1,1,1,0,m,1,1,b,1,0,1,y,very well designed for strollers but lack of clear signage,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=50",-73.6024,45.56224,"Temoin architectural des annees 1960, la bibliotheque de Saint-Michel, situee dans le parc octogonal Franaõois-Perrault, a conserve plusieurs attributs de son style d'origine, dont le mur ouest incurve en forme de ¶® s ¶¯ allonge. Trois collections de faux vitraux ornent les fenetres de l'entree et la section des jeunes. Ces oeuvres aux couleurs chaudes et flamboyantes ont ete realisees en collaboration avec des partenaires du milieu. La collaboration se poursuit encore aujourd'hui, puisque la bibliotheque demeure un lieu de rencontre et d'animation tres apprecie de la communaute. La proximite de la Cite des arts du cirque, dans le quartier Saint-Michel, fait en sorte que le public s'interesse de plus en plus aux arts circassiens; la bibliotheque en tient compte dans son developpement."
Lachine,Bibliotheque,Bibliotheque de Saint-Pierre,"183, rue des Erables",H8R 1B1,Montreal,QC,1,1,1,2,0,1,1,0,s,1,1,f,1,1,1,y,excellent for families and seniors. clean facilities,514 634-3471 #826,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=51",-73.6511,45.44577,"Sur le mur exterieur du ba½timent de cette petite bibliotheque offrant tous les services d'une grande, on trouve depuis peu une murale peinte dans le cadre d'une association au projet 'Apprendre le graffiti', une premiere pour une bibliotheque montrealaise. Cette signature demontre la volonte de faire de la bibliotheque un lieu oaû les jeunes pourront se reconnaa©tre et profiter de ses services."
Ahuntsic-Cartierville,Bibliotheque,Bibliotheque De Salaberry,"4170, rue de Salaberry",H4J 1H1,Montreal,QC,1,1,1,5,1,1,1,0,s,1,1,f,1,1,1,y,"overall very inclusive and accommodating, future improvements planned",514 872-1521,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=54",-73.704,45.53471,"La bibliotheque De Salaberry, une des deux bibliotheques consacrees exclusivement a la jeunesse, est mise en service le 20 novembre 1964. Situee en face du parc Sainte-Odile et a quelques metres de la sortie 4 de l'autoroute 15 Nord, elle occupe une ba½tisse qu'elle partage avec une caserne de pompiers, comme le voulait la tradition a l'epoque. En 40 ans, la bibliotheque a developpe une solide expertise qu'elle partage avec les jeunes, mais egalement avec les parents, les professeurs et les educateurs."
Lachine,Bibliotheque,Bibliotheque Saul-Bellow,"800, rue Sherbrooke",H8S 1H2,Lachine,QC,1,1,1,2,1,1,1,0,l,1,1,f,1,0,1,y,excellent for families and seniors. clean facilities,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=55",-73.671,45.44497,"Saul Bellow est ne a Lachine le 10 juin 1915. Deux ans auparavant, ses parents emigraient de Russie. L'enfant grandit dans un quartier ouvrier de Montreal, au contact de la communaute juive. Universitaire et romancier, au confluent des cultures americaine, russe et yiddish, Saul Bellow est un moraliste, un chroniqueur de son siecle, un decouvreur d'idees. Cet humaniste est considere comme l'ecrivain qui decrit le mieux l'experience des immigrants a la decouverte de leur Amerique. En 1976, son oeuvre a ete couronnee par le prix Nobel de litterature. Saul Bellow est decede le 5 avril 2005 a Brookline, au Massachussetts. Inauguree en 1975, la bibliotheque porte son nom depuis 1984."
Verdun,Bibliotheque,Bibliotheque de Verdun,"5955, rue Bannantyne",H4H 1H6,Montreal,QC,1,1,1,2,1,1,1,0,m,1,1,b,1,0,1,y,"overall very inclusive and accommodating, future improvements planned",514 765-7170,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623059&_dad=portal&_schema=PORTAL&section=accueil&lieu=56",-73.577,45.44821,"La bibliotheque de Verdun ouvre ses portes le 9 mai 1944. Pres de 4 000 residants s'abonnent des la premiere annee. Puis, la bibliotheque emmenage dans l'edifice actuel du centre culturel de Verdun, inaugure le 3 mai 1967. En plus de la bibliotheque, le centre culturel abrite la salle Canadiana, qui regroupe des collections d'ouvrages en histoire du Canada et en genealogie.Devant le centre culturel se dresse 'La Naissance', une oeuvre de Claude Millette. Ne au debut des annees 1950, ce jeune sculpteur a tout d'abord exprime son art en s'attaquant au bois, pour ensuite couler l'acier, un metal dont il a reussi a surmonter l'austerite en faisant ressortir le veloute des surfaces. Il a, a ses debuts, reaõu conseils et encouragements de la part de l'artiste quebecois de renommee internationale, Armand Vaillancourt."
Montreal-Nord,Centre communautaire,Maison culturelle et communautaire de Montreal-Nord,"12004, boulevard Rolland",H1G 3W1,Montreal,QC,1,1,1,0,1,1,1,0,M,1,1,B,1,1,1,Y,"overall very inclusive and accommodating, future improvements planned",514 328-4000 #5640,"http://ville.montreal.qc.ca/portal/page?_pageid=8717,97083777&_dad=portal&_schema=PORTAL",-73.6208,45.6164,"La Maison culturelle et communautaire de Montreal-Nord est un important lieu de diffusion dans son arrondissement. Elle¶ abrite une bibliotheque qui offre des collections variees pour tous les groupes d'a½ge, 16 postes informatiques et une grande salle reservee aux nombreuses animations. Elle comprend egalement une salle de spectacle de 234 sieges et une salle de repetition. La compagnie de danse Bouge de la y reside six semaines par annee.La Maison regroupe egalement une salle d'exposition, une agora, 16 salles reservees aux activites communautaires, incluant un studio d'enregistrement et de radio communautaire. Le CPE Mini-Fee, l'espace de restauration Les Fourchettes de l'espoir et les bureaux administratifs de l'organisme Un itineraire pour tous y logent egalement.La Maison culturelle et communautaire de Montreal-Nord est un lieu convivial et ouvert a la communaute.¶"
Pierrefonds-Roxboro,Centre communautaire,Centre communautaire de l'Est,"9665, Gouin boulevard West",H8Y 1R4,Montreal,QC,0,0,1,0,0,1,0,0,m,1,1,f,1,0,1,y,"good experience, helpful staff",514 684-0091,"http://ville.montreal.qc.ca/portal/page?_pageid=8377,93769590&_dad=portal&_schema=PORTAL",-73.7859,45.50488,"Compose d'une grande salle polyvalente et de nombreuses petites salles de reunion, le Centre communautaire de l'Est est un lieu culturel de qualite qui presente principalement des spectacles et des films pour enfants ainsi que des concerts de musique."
Verdun,Centre communautaire,Centre communautaire Elgar,"260, rue Elgar",H3E 1C9,Montreal,QC,1,1,1,15,1,1,1,0,l,1,1,b,1,0,1,y,very good quality and excellent facilities.,514 765-7270,http://www.accesculture.com/emplacement/CentreCommunautaireElgar,-73.5467,45.45714,"Parmi les lieux de representations de l'arrondissement de Verdun, le centre communautaire Elgar est un des principaux lieux de diffusion. Il offre au public une programmation diversifiee : spectacles, conferences, animations, expositions, musique, chanson, danse, thea½tre, arts visuels."
Anjou,Centre communautaire,Centre communautaire d'Anjou,"7800, boulevard Metropolitain Est",H1K 1A1,Anjou,QC,1,0,1,8,1,1,1,0,m,1,1,b,1,0,1,y,"good experience, helpful staff",514 493-8200,"http://ville.montreal.qc.ca/portal/page?_dad=portal&_pageid=6958,70505573&_schema=PORTAL",-73.5642,45.60649,Centre communautaire dote d'une salle multifonctionnelle qui est utilisee regulierement pour diffuser des spectacles presentes par l'arrondissement d'Anjou.
Saint-Laurent,Centre des loisirs,Centre des loisirs de Saint-Laurent,"1375, rue Grenet",H4L 5K3,Montreal,QC,1,1,0,2,1,1,1,0,l,1,1,b,1,0,1,y,leisure centre accessible for all,n/a,"http://ville.montreal.qc.ca/portal/page?_pageid=7937,86683617&_dad=portal&_schema=PORTAL",-73.6914,45.51407,"Lieu majeur de diffusion culturel dans l'arrondissement de Saint-Laurent, le Centre des loisirs de Saint-Laurent propose une programmation culturelle gratuite variee et de qualite, que ce soit spectacle de thea½tre, concerts ou films."
Rosemont-La Petite-Patrie,Cinema,Cinema Beaubien,"2396, rue Beaubien Est",H2G 1N9,Montreal,QC,1,1,1,12,0,1,0,0,m,0,0,f,1,0,0,s,church old building needs work to be more accessible,514 721-6060,"http://www.facebook.com/CinemaBeaubien,http://cinemabeaubien.com/",-73.5921,45.54805,"Important lieu de diffusion de l'arrondissement de Rosemont-La Petite-Patrie, le Cinema Beaubien met une priorite a programmer des films en langue franaõaise. De plus, il a pour vocation de promouvoir un cinema de qualite du Quebec et d'ailleurs. Chaque ete, la maison de la culture Rosemont-La Petite-Patrie s'installe au Cinema Beaubien pour offrir une programmation gratuite de films a voir en famille."
Outremont,"Cinema,Thea½tre",Thea½tre Outremont,"1248, avenue Bernard Ouest",H2V 1V6,Montreal,QC,0,1,1,16,1,0,0,0,s,1,1,f,0,0,0,s,church old building needs work to be more accessible,514 495-9944,"https://www.facebook.com/theatre.outremont?fref=ts,http://www.theatreoutremont.ca/",-73.609,45.52011,"Le Thea½tre Outremont, classe lieu historique national en 1993 et bien culturel en 1994, est a la fois un cinema de repertoire et un lieu de spectacles d'envergure. Ce lieu de diffusion phare dans l'arrondissement d'Outremont propose une programmation en cinema, en danse, en musique et en thea½tre."
Verdun,Eglise,Eglise Notre-Dame-des-Sept-Douleurs,"4155, rue Wellington",H4G 1V8,Montreal,QC,0,0,1,5,0,0,1,0,s,0,0,f,0,0,1,y,church old building needs work to be more accessible,514 761 3496,www.facebook.com/verdunenscenes,-73.567,45.46272,"Premiere paroisse francophone de Verdun, l'eglise Notre-Dame-des-Sept-Douleurs sert aujourd'hui de lieu de diffusion de la culture pour l'arrondissement. Elle offre une programmation riche en concerts et evenements musicaux."
Ville-Marie,Eglise,Chapelle historique du Bon-Pasteur,"100, rue Sherbrooke Est",H2X 1C3,Montreal,QC,0,0,1,4,0,1,1,0,s,1,0,f,0,0,1,s,church old building needs work to be more accessible,514 872-5338,"http://ville.montreal.qc.ca/portal/page?_pageid=6917,68929665&_dad=portal&_schema=PORTAL",-73.5685,45.51348,"La Chapelle historique du Bon-Pasteur, important lieu culturel de l'arrondissement de Ville-Marie, presente pres de 200 activites musicales chaque annee et de nombreuses expositions, le tout dans un lieu ayant conserve son etat original."
Ahuntsic-Cartierville,Eglise,Eglise evangelique armenienne,"11455, rue Drouart",H3M 2S6,Montreal,QC,1,0,1,3,0,0,1,0,s,0,0,f,0,0,1,s,church old building needs work to be more accessible,n/a,http://www.accesculture.com/,-73.6874,45.53634,L'Eglise evangelique armenienne est utilisee ponctuellement par la Maison de la culture Ahuntsic-Cartierville pour presenter notamment des concerts d'orchestres classiques.
Anjou,Eglise,Eglise Jean XXIII,"7101, avenue de l'Alsace",H1J 2K5,Montreal,QC,0,1,1,1,0,1,1,0,m,1,0,f,1,0,1,n,church old building needs work to be more accessible,514 353-1223,http://www.accesculture.com/emplacement/EgliseJeanXXIII,-73.5822,45.60441,"Situee dans l'arrondissement d'Anjou, L'Eglise Jean XXIII est un lieu de diffusion pour les representations musicales et les recitals de chansons, offerts tous les jeudis dans une ambiance intime."
Pierrefonds-Roxboro,Eglise,Eglise Marie-Reine-de-la-Paix,"11075, boulevard Gouin Ouest",H8Y 1X6,Montreal,QC,1,0,1,0,0,0,1,0,m,0,1,f,0,0,1,n,church old building needs work to be more accessible,514 624-1100,,-73.8141,45.51096,"L'arrondissement Pierrefonds-Roxoboro utilise a l'occasion l'eglise Marie-Reine-de-la-Paix. Lieu de diffusion important en matiere de musique classique, cette eglise offre une programmation riche en concerts."
Villeray-Saint-Michel-Parc-Extension,Eglise,Eglise Saint-Rene-Goupil,"4251, rue du Parc-Rene-Goupil",H1Z 1X8,Montreal,QC,1,1,1,5,0,1,1,0,s,0,1,f,1,0,1,y,church old building needs work to be more accessible,514 722-1161,https://www.facebook.com/hors.murs,-73.6118,45.57796,Cette petite eglise chaleureuse et intimiste situee au cour du quartier Saint-Michel accueille regulierement des spectacles et concerts organises par le programme Hors les murs de l'arrondissement Villeray-Saint-Michel-Parc-Extension.
Riviere-des-Prairies-Pointe-aux-Trembles,Eglise,Eglise Saint-Joseph,"10050, boulevard Gouin Est",H1C 1A8,Montreal,QC,0,0,1,1,0,0,1,0,m,0,0,f,0,0,1,y,church old building needs work to be more accessible,514 648-4650,,-73.5621,45.66317,"Essentiellement utilisee pour les concerts musicaux en formule intime, l'Eglise Saint-Joseph est l'un des lieux utilises par la maison de la culture Riviere-des-Prairies afin de diffuser la culture dans l'arrondissement."
Ahuntsic-Cartierville,Eglise,Eglise de la Visitation-de-la-bienheureuse-vierge-Marie,"1847, boulevard Gouin Est",H2C 1C8,Montreal,QC,1,1,1,0,0,0,1,0,l,1,1,f,1,0,1,y,church old building needs work to be more accessible,514 872-8749,http://mcahuntsic.com/,-73.6604,45.5704,"Lieu utilise par la Maison de la culture Ahuntsic-Cartierville principalement pour la diffusion de concerts de musique classique, l'eglise de la Visitation est la plus ancienne eglise qui subsiste sur l'a©le de Montreal."
Ville-Marie,Eglise,Eglise Saint-James the Apostle,"1439, rue Sainte-Catherine Ouest",H3G 1S6,Montreal,QC,0,0,1,1,0,0,1,0,s,0,1,f,1,0,1,y,museum great for family and accessible,514 849-7577,,-73.5764,45.49653,Cette magnifique eglise neogothique dotee d'un orgue Casavant est utilisee regulierement par l'arrondissement Ville-Marie pour diffuser des concerts ouverts a tous.
Mercier-Hochelaga-Maisonneuve,Musee municipal,Biodome de Montreal,"4777, avenue Pierre-De-Coubertin",H1V 1B3,Montreal,QC,1,1,1,2,1,1,1,0,s,1,1,b,1,1,1,y,museum great for family and accessible,514 868-3000,http://espacepourlavie.ca/biodome,-73.5497,45.5596,"Voyagez sans bagage a Espace pour la vie. Entreprenez un periple immersif et sensoriel a travers les ecosystemes des Ameriques au Biodome. Vibrez au rythme des sons de la foret tropicale, partez a la recherche des lynx dans l'erabliere laurentienne, plongez au cour du golfe du Saint-Laurent et passez faire un clin d'oil aux manchots dans les regions subpolaires. ¶ Laissez nos animateurs scientifiques vous raconter les secrets de cette fascinante biodiversite.¶"
Rosemont-La Petite-Patrie,Musee municipal,Insectarium de Montreal,"4581, rue Sherbrooke Est",H1X 2B2,Montreal,QC,1,1,1,4,1,1,1,1,m,1,1,b,1,1,1,y,museum great for family and accessible,514 872-1400,http://espacepourlavie.ca/insectarium,-73.558,45.56095,"Sortez de votre cocon a Espace pour la vie. Faites connaissance avec les champions de la nature a l'Insectarium. Observez le fascinant travail des fourmis coupeuses de feuilles en pleine action, ecoutez le chant de la cigale et amusez-vous en famille a distinguer les phasmes des feuilles dans leur vivarium. ¶ Venez admirer la delicatesse, la splendeur et l'ingeniosite des plus captivants specimens de notre collection.¶"
Rosemont-La Petite-Patrie,Musee municipal,Jardin botanique de Montreal,"4101, rue Sherbrooke Est",H1X 2B2,Montreal,QC,1,1,1,1,1,1,1,1,m,1,1,b,1,0,1,y,museum great for family and accessible,514 872-1400,http://espacepourlavie.ca/jardin-botanique,-73.5581,45.5583,"Cultivez une parcelle de bonheur a Espace pour la vie. Besoin de serenite? Ici, un lotus sur le point d'ouvrir, la , un saule offre sa fraa©cheur, plus loin, une rose parfume le vent. Besoin d'evasion? Partez a la decouverte des bananiers, plants de cannelle, orchidees et penjing dans les serres. Besoin de sortir? Faites votre choix parmi un bouquet d'evenements culturels pour toute la famille. Laissez-vous inspirer.¶"
Mercier-Hochelaga-Maisonneuve,Musee municipal,Planetarium Rio Tinto Alcan,"4801, Pierre-De-Coubertin avenue",H1V 3V4,Montreal,QC,1,1,1,5,1,1,1,0,l,1,1,b,1,1,1,y,facility recently renovated accesibility much improved,514 868-3000,http://espacepourlavie.ca/planetarium,-73.5502,45.56084,"Changez de perspective a Espace pour la vie. Partez a la decouverte du plus beau ciel etoile de Montreal en compagnie ¶ d'un animateur chevronne. Tel un explorateur, entreprenez un fascinant voyage virtuel qui vous menera a des milliers d'annees-lumiere de la Terre, jusqu'au-dela des etoiles !¶"
